2021-09-07 17:10:49 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2021-09-07 17:10:50 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@1e11bc55{/executors/threadDump/json,null,AVAILABLE,@Spark}
2021-09-07 17:10:50 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@7544a1e4{/static,null,AVAILABLE,@Spark}
2021-09-07 17:10:50 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@41382722{/,null,AVAILABLE,@Spark}
2021-09-07 17:10:50 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@7dac3fd8{/api,null,AVAILABLE,@Spark}
2021-09-07 17:10:50 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@3d4d3fe7{/jobs/job/kill,null,AVAILABLE,@Spark}
2021-09-07 17:10:50 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@65f87a2c{/stages/stage/kill,null,AVAILABLE,@Spark}
2021-09-07 17:10:51 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@4482469c{/metrics/json,null,AVAILABLE,@Spark}
2021-09-07 17:10:53 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@3302035b{/SQL,null,AVAILABLE,@Spark}
2021-09-07 17:10:53 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6c5747db{/SQL/json,null,AVAILABLE,@Spark}
2021-09-07 17:10:53 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@77ccded4{/SQL/execution,null,AVAILABLE,@Spark}
2021-09-07 17:10:53 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@64c8fcfb{/SQL/execution/json,null,AVAILABLE,@Spark}
2021-09-07 17:10:53 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@7afe0e67{/static/sql,null,AVAILABLE,@Spark}
2021-09-07 17:10:55 INFO  FileInputFormat:249 - Total input paths to process : 1
agg COUNT(*): 1
agg COUNT(*) bid>5000: 1
2021-09-07 17:10:57 INFO  FileInputFormat:249 - Total input paths to process : 1
select COUNT(*): 767
select COUNT(*): 510
join COUNT(*): 0
2021-09-07 17:11:00 INFO  AbstractConnector:318 - Stopped Spark@5769e7ae{HTTP/1.1,[http/1.1]}{0.0.0.0:4041}
